Season,Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName,CreatedOn
0,AGRICULTURE,5,241,54,0,49,21,2018-12-30T08:05:57.95
0,AGRICULTURE,18,172,67,0,49,21,2018-12-30T07:58:19.087
0,AGRICULTURE,5,241,68,2,33,793,2018-12-30T07:56:35.343
0,AGRICULTURE,18,172,67,0,49,21,2018-12-30T07:44:30.063
0,ANIMAL HUSBANDRY,2,36,24,5,3,850,2018-12-30T07:34:45.773
0,HORTICULTURE,6,91,1,1,43,802,2018-12-30T07:17:42.257
0,HORTICULTURE,6,91,47,1,43,0,2018-12-30T07:11:33.217
0,AGRICULTURE,5,174,43,0,49,240,2018-12-29T21:07:40.173
0,HORTICULTURE,22,191,1,6,20,374,2018-12-29T21:02:13.283
0,AGRICULTURE,5,174,38,6,20,449,2018-12-29T20:41:40.643
0,AGRICULTURE,18,172,67,3,46,610,2018-12-29T20:39:48.167
0,AGRICULTURE,5,241,68,4,29,799,2018-12-29T20:17:30.053
0,AGRICULTURE,5,241,58,0,49,240,2018-12-29T20:17:09.633
0,HORTICULTURE,22,38,47,6,20,231,2018-12-29T19:35:35.023
0,AGRICULTURE,18,172,22,2,33,348,2018-12-29T19:33:41.343
0,AGRICULTURE,18,172,67,0,49,884,2018-12-29T19:26:22.353
0,AGRICULTURE,18,172,1,1,43,94,2018-12-29T19:01:44.46
0,HORTICULTURE,22,32,47,6,39,296,2018-12-29T19:01:33.527
0,AGRICULTURE,5,241,63,4,29,433,2018-12-29T18:57:27.073
0,AGRICULTURE,5,241,68,1,43,929,2018-12-29T18:46:57.743
0,AGRICULTURE,5,174,1,3,46,878,2018-12-29T18:44:26.17
0,AGRICULTURE,5,241,63,5,19,110,2018-12-29T18:44:13.707
0,AGRICULTURE,5,241,54,0,49,21,2018-12-29T18:42:48.98
0,ANIMAL HUSBANDRY,2,36,18,0,49,240,2018-12-29T18:25:48.957
0,HORTICULTURE,6,71,1,1,43,389,2018-12-29T18:23:48.477
0,HORTICULTURE,22,231,28,0,48,858,2018-12-29T18:21:46.107
0,AGRICULTURE,18,172,38,0,49,240,2018-12-29T18:17:14.757
0,HORTICULTURE,7,230,23,1,4,719,2018-12-29T18:11:43.453
0,AGRICULTURE,5,174,54,0,48,798,2018-12-29T18:11:28.303
0,HORTICULTURE,19,229,1,1,43,929,2018-12-29T18:11:18.54
0,HORTICULTURE,22,191,1,6,20,329,2018-12-29T18:09:35.53
0,AGRICULTURE,5,174,68,3,46,622,2018-12-29T18:07:00.807
0,HORTICULTURE,19,17,1,6,20,66,2018-12-29T18:01:25.65
0,HORTICULTURE,22,30,23,0,48,234,2018-12-29T18:00:15.31
0,HORTICULTURE,22,0,3,3,46,540,2018-12-29T17:45:09.9
0,HORTICULTURE,22,58,1,1,4,898,2018-12-29T17:44:50.277
0,AGRICULTURE,18,172,54,3,36,852,2018-12-29T17:44:49.637
0,AGRICULTURE,18,172,67,1,4,155,2018-12-29T17:42:43.303
0,AGRICULTURE,5,241,47,4,29,418,2018-12-29T17:31:14.57
0,HORTICULTURE,22,191,27,1,43,929,2018-12-29T17:30:32.68
0,AGRICULTURE,18,172,67,1,43,929,2018-12-29T17:26:16.773
0,AGRICULTURE,18,172,67,4,29,418,2018-12-29T17:25:02.33
0,AGRICULTURE,17,53,23,1,43,929,2018-12-29T17:23:33.003
0,AGRICULTURE,5,241,1,2,33,793,2018-12-29T17:19:27.97
0,HORTICULTURE,22,191,1,6,20,696,2018-12-29T17:18:07.91
0,ANIMAL HUSBANDRY,2,36,24,2,33,793,2018-12-29T17:10:34.86
0,AGRICULTURE,18,172,67,2,33,793,2018-12-29T17:08:44.74
0,AGRICULTURE,8,0,27,1,43,935,2018-12-29T17:01:49.46
0,HORTICULTURE,6,76,1,1,43,929,2018-12-29T16:57:06.487
0,HORTICULTURE,6,99,1,2,33,512,2018-12-29T16:56:38.017
0,AGRICULTURE,5,241,1,1,43,929,2018-12-29T16:31:57.69
0,AGRICULTURE,18,172,67,3,36,241,2018-12-29T16:28:36.853
0,AGRICULTURE,18,172,67,3,36,905,2018-12-29T16:22:31.323
0,HORTICULTURE,6,76,1,1,43,929,2018-12-29T16:17:31.643
0,HORTICULTURE,22,38,1,6,20,47,2018-12-29T16:15:04.53
0,AGRICULTURE,5,241,27,1,43,389,2018-12-29T15:52:10.023
0,AGRICULTURE,5,241,27,1,43,94,2018-12-29T15:43:29.817
0,AGRICULTURE,18,172,67,2,33,443,2018-12-29T15:29:50.787
0,AGRICULTURE,5,174,1,3,46,807,2018-12-29T15:29:24.453
0,AGRICULTURE,5,174,1,6,20,728,2018-12-29T15:24:39.717
0,HORTICULTURE,6,92,27,5,19,656,2018-12-29T15:23:48.533
0,AGRICULTURE,5,174,1,6,20,728,2018-12-29T15:23:37.877
0,AGRICULTURE,18,172,67,2,33,839,2018-12-29T15:04:58.887
0,AGRICULTURE,18,172,38,1,43,935,2018-12-29T15:02:19.933
0,AGRICULTURE,5,241,2,0,48,733,2018-12-29T14:54:16.607
0,AGRICULTURE,18,0,38,1,43,935,2018-12-29T14:52:33.16
0,AGRICULTURE,5,241,68,1,43,94,2018-12-29T14:38:25.66
0,AGRICULTURE,18,172,38,1,43,929,2018-12-29T14:30:58.167
0,AGRICULTURE,17,211,58,3,36,553,2018-12-29T14:30:14.173
0,AGRICULTURE,5,174,1,6,20,450,2018-12-29T14:10:01.72
0,AGRICULTURE,18,172,43,1,43,460,2018-12-29T14:05:11.807
0,HORTICULTURE,22,30,1,0,49,48,2018-12-29T14:04:00.293
0,AGRICULTURE,17,161,1,5,19,453,2018-12-29T14:03:11.98
0,AGRICULTURE,18,172,67,0,49,21,2018-12-29T14:02:06.147
