Sector,Category,Crop,QueryType,StateName,DistrictName,BlockName
1,18,172,38,1,43,929
1,18,172,1,3,36,651
1,18,172,67,3,46,23
1,18,172,54,0,48,738
4,6,76,47,2,33,512
1,0,0,47,1,4,833
1,18,172,47,1,4,446
4,22,58,1,1,4,898
1,5,241,47,2,33,512
1,18,172,38,1,4,719
4,22,159,45,0,48,738
1,5,241,68,2,33,793
4,22,191,23,6,39,687
1,18,172,67,2,33,793
2,2,173,43,0,49,240
2,0,0,10,1,43,460
1,18,172,67,2,33,348
1,20,130,1,6,39,330
1,18,172,49,1,4,719
1,5,174,67,0,49,240
1,5,174,67,0,49,240
1,18,172,67,2,33,0
4,22,137,55,0,49,240
1,18,172,67,3,36,233
1,18,172,67,3,36,233
4,22,58,1,1,4,864
1,18,172,38,3,36,233
1,18,172,67,3,36,233
1,18,172,22,3,36,233
1,18,172,38,1,4,446
4,22,75,47,3,46,672
1,18,172,67,2,33,443
1,5,241,63,4,29,823
1,18,172,67,3,36,233
1,5,174,23,3,46,599
4,22,122,1,3,46,645
1,5,174,43,0,49,21
4,11,148,65,3,36,133
1,5,241,1,1,43,929
1,20,27,1,3,36,0
1,5,174,54,3,36,651
4,6,71,47,2,33,443
1,17,161,1,2,33,443
1,17,108,43,3,36,24
1,20,27,1,2,33,839
1,18,172,67,0,49,240
4,22,58,55,0,49,240
1,18,172,67,3,46,843
4,22,75,1,6,20,231
1,5,241,1,5,19,656
1,18,172,67,3,36,351
1,5,174,27,3,46,924
1,5,174,27,3,36,186
2,2,36,26,5,3,850
1,5,174,47,3,46,924
1,18,0,67,3,46,924
1,5,241,27,5,19,656
1,18,172,23,1,4,155
1,18,172,67,5,19,0
4,22,30,55,6,39,296
1,5,174,47,3,36,912
1,17,161,1,2,33,793
1,5,174,68,3,46,924
1,20,107,54,3,36,541
4,11,148,1,3,46,195
1,18,172,23,1,4,446
1,18,172,67,2,33,0
2,2,36,18,1,43,94
1,5,174,1,3,36,24
4,22,58,1,3,36,284
1,18,172,67,4,29,823
4,22,38,1,6,20,66
4,6,101,23,1,43,547
1,18,172,67,3,36,233
1,18,172,67,5,19,516
1,18,172,23,1,43,900
4,22,54,23,1,43,909
1,5,241,54,0,49,240
1,18,172,67,0,49,240
4,22,58,1,1,4,41
1,18,172,67,0,49,240
1,18,172,38,5,19,110
2,2,173,12,0,49,240
4,22,38,55,0,49,240
1,17,108,1,3,36,138
4,6,99,47,2,33,793
1,18,172,67,0,49,240
4,7,230,27,1,43,935
4,7,230,1,1,4,43
4,22,231,1,0,49,240
1,17,53,1,1,43,935
1,5,241,68,4,29,799
1,18,172,67,6,39,330
4,11,176,40,0,49,240
1,18,172,67,0,49,240
4,11,63,27,0,49,240
4,11,63,27,0,49,240
1,17,0,47,6,39,75
4,22,191,1,1,43,929
1,17,53,47,3,36,697
1,18,172,67,0,49,240
4,22,240,23,3,36,55
1,5,174,38,6,20,374
1,18,172,67,0,49,240
1,0,0,67,6,20,231
1,18,172,67,6,39,296
4,22,58,1,3,36,535
1,18,172,67,3,36,651
1,5,174,1,3,46,640
4,22,191,23,6,20,863
4,22,30,1,3,46,577
1,18,172,67,4,29,433
1,18,172,22,3,36,32
4,22,192,1,0,48,234
1,18,172,67,2,33,793
1,18,172,67,3,36,651
1,18,0,67,3,36,651
1,18,172,22,3,36,70
1,18,172,67,3,36,651
1,18,172,21,4,29,823
1,18,172,67,3,36,475
1,18,172,67,4,29,673
1,18,172,67,1,43,929
4,15,235,47,6,39,330
1,18,172,38,3,36,651
1,18,172,67,3,36,651
1,18,172,67,3,36,651
1,18,172,67,3,36,651
1,18,172,67,3,36,651
1,18,172,21,3,36,651
1,18,172,67,3,36,651
1,18,172,38,3,36,651
1,5,174,0,3,46,639
4,22,38,1,6,39,398
1,18,172,38,3,36,651
1,18,172,67,3,36,651
1,18,172,67,3,36,635
1,18,172,67,3,36,651
1,18,0,67,3,36,651
1,18,172,38,3,36,651
1,18,172,67,3,36,651
1,18,172,38,3,46,948
1,18,172,38,3,36,651
1,5,174,1,3,46,879
1,18,172,43,1,43,389
1,18,172,38,3,36,651
1,5,174,1,3,36,208
1,18,172,67,3,36,651
1,18,172,67,6,39,296
1,18,172,67,6,20,47
4,22,191,1,6,20,696
1,18,172,38,3,36,651
1,18,172,38,3,36,0
1,18,172,43,1,43,929
1,18,172,22,3,36,541
1,18,172,38,3,36,651
1,5,241,63,5,19,110
1,18,172,67,3,36,651
1,18,172,38,3,36,651
1,5,241,68,4,29,799
1,18,172,38,1,43,929
4,11,19,23,1,43,547
1,18,172,67,3,46,409
1,18,172,67,3,36,651
1,18,172,67,0,48,733
1,18,172,67,3,36,40
1,18,172,38,3,36,651
1,18,172,67,3,36,651
1,5,241,68,1,43,547
1,18,0,67,2,33,793
1,18,172,38,3,36,651
1,17,161,23,1,4,41
1,18,172,67,3,36,553
1,18,172,67,3,36,651
1,5,241,1,2,33,443
4,22,58,1,3,36,40
1,18,172,67,4,29,570
1,18,172,67,2,33,443
1,18,172,67,3,36,133
4,11,148,1,3,36,133
1,18,172,67,3,36,651
1,5,174,1,6,39,296
1,18,172,38,3,36,651
1,18,172,67,3,36,651
1,18,172,67,3,36,651
1,5,233,23,0,48,234
1,18,172,22,3,36,651
1,18,172,67,3,36,572
1,18,172,38,3,36,651
1,18,172,38,3,36,651
1,18,172,21,3,36,651
1,18,172,67,3,36,596
1,18,172,27,1,4,446
1,18,172,67,2,33,348
1,18,172,38,3,36,133
1,18,172,67,3,36,133
1,18,172,67,3,36,651
4,22,38,1,3,36,555
1,18,172,68,3,36,905
4,22,58,1,0,48,455
4,11,148,1,3,46,195
1,18,172,38,3,36,651
4,22,58,1,0,48,455
1,18,172,1,3,36,651
1,18,172,38,3,36,635
1,5,241,68,4,29,823
4,11,63,47,3,46,676
1,18,172,15,1,43,935
1,20,27,27,1,43,460
1,18,172,1,3,36,22
1,5,174,27,3,46,652
4,6,76,1,1,4,864
1,18,172,54,3,36,651
1,5,174,54,3,36,475
4,22,231,23,1,4,41
1,18,172,67,0,48,83
1,18,172,43,5,3,335
1,18,172,23,1,43,935
4,22,198,27,3,46,151
1,18,172,43,4,29,799
1,5,174,1,0,48,83
4,11,148,27,6,20,169
1,5,174,63,0,48,798
4,22,169,1,6,20,66
